Dec-17,Dec-16,Change
KES millions,KES millions,%
"76,245","52,927",
"12,744","16,989",
"130,536","115,588",
"16,201","16,432",
"2,307","2,262",
"10,706","10,485",
"248,739","214,683",
"38,707","36,507",
"154,661","119,328",
"3,989","3,986",
"8,426","14,721",
"42,956","40,141",
"248,739","214,683",
"38,664","30,207",
"4,686","2,677",
"33,978","27,530",
