Column,"23,366,583",-,-,-,-,"23,366,583"
,"778,092","10,865,000","3,800,163","8,646,017",-,"24,089,272"
,-,"12,333,987",-,-,-,"12,333,987"
,"17,527,535","5,755,726","2,876,542","39,990,038",-,"66,149,841"
Derivative assets,-,-,"1,460,375","471,456",-,"1,931,831"
,"41,672,210","28,954,713","8,137,080","49,107,511",-,"127,871,514"
Derivative liabilities,"958,621","820,708","418,936","271,383",,"2,469,648"
,"25,556,484",-,-,-,-,"25,556,484"
,"60,708,680","11,110,672","3,067,906","19,505",-,"74,906,763"
,-,-,-,"4,980,304","1,717,427","6,697,731"
,"5,963,609",-,-,-,-,"5,963,609"
,"93,187,394","11,931,380","3,486,842","5,271,192","1,717,427","115,594,235"
,"(51,515,184)","17,023,333","4,650,238","43,836,319","(1,717,427)","12,277,279"
