Column,Column,FY 2025,FY 2024,% Change
"Impact of 225bps CBR cuts moderated by funding
cost management",Net interest income,24.1,24.3,(1.0)
,,14.4,15.4,
,Total income,38.5,39.7,(3.1)
,,18.0,17.7,
,Pre-provision profit,20.6,22.1,(6.9)
,,1.6,3.1,
,Profit before tax,18.9,19.0,(0.2)
,,5.2,5.3,
,Profit after tax,13.7,13.7,0.0
