"Notes (continued)
46 Capital commitments
Capital commitments for the acquisition of property and equipment are summarised below:",Column,Column
"Authorised and contracted for
Authorised but not contracted for","2024
KShs Million","2023
KShs Million"
,"1 ,632
1 ,364","827
1,163"
47 Low value and short term leases,,
"At 31 December, the future minimum lease payments under non-cancellable operating leases were payable
as follows;",,
"Less than one year
Between one and five years","2024
KShs Million","2023
KShs Million"
,"1 00
9 0","7 7
7 8"
,1 90,155
"48 Fiduciary activities
The assets held on behalf of individuals, trusts, retirement benefit plans and other institutions:",,
Assets held on behalf of individual’s trusts and other institutions,"2024
KShs Million","2023
KShs Million"
,"736,333","514,305"
