"June 2014
Shs’000
(Unaudited)"
"2,263,761
290,283"
"1,973,478"
"971,148"
"1,002,330"
"1,002,330"
-
"676338
3,529,058"
"4,205,396"
"23,403,105
62,216,481
-"
"85,619,586"
"22,440,753
1,000,000"
"21,440,753"
"1,159,642"
"23,600,395"
"126,185,147"
"21.5%
8.0%
13.5%"
17.8%
10.5%
7.3%
"18.7%
14.5%"
4.2%
"48.6%
20.0%"
28.6%
