Note,"31 December 31 December
2009 2008
Shs '000 Shs '000"
"36 (a)
36 (b)","1,263,928 1,676,467
(560,551) (602,016)"
,"703,377 1,074,451
(1,179,143) (6,898,170)
(2,137,657) 2,109,272
(211,701) 883,733
(6,222,614) (260,726)
(500,694) 13,233,054
3,125,255 (5,231,457)
(6,423,177) 4,910,157
- (89,148)
(1,035,733) (556,210)
(788,363) (232,236)
8,990 7,251
35,500 -
5,476 -
23,195 14,571
- (7,930)"
,"(1,750,935) (863,702)
- (165,909)
(25,644) (101,605)
3,176,457 1,386,319"
,"3,150,813 1,118,805"
,"(16,048) (2,790)
(5,039,347) 5,162,470
- 6,038,129
15,127,591 3,926,992
10,088,244 15,127,591"
