Column,"4,418,589",Column,Column
"4,309,494",,"1,876,890",
,"220,306
(29,490)",,
"74,400",,-,
"298,645",,-,
"373,045","190,816",-,-
"4,682,539","4,609,405","1,876,890","2,832,559"
