Director’s Name,Stanbic Holdings PLC Board Attendance For 2022,Column,Column,Column,Column,Column
,"Q1,
2nd March
2022","Q2,
12th May
2022","Q2,
19th May
2022
Special","Q3,
18th July
2022
Special","Q3,
18th Aug
2022","Q4,
24th Nov
2022"
,P,P,P P,,P,P
,P,P,P P,,P,P
,P,P,P P,,P,P
,P,P,P P,,P,P
,P,P,P N/A,,N/A,N/A
,P,P,P P,,P,P
,P,P,P AP,,AP,P
,P,P,P P,,P,P
,P,P,P P,,P,P
