"Notes (continued)
GROUP COMPANY",Column,Column,Column,Column,Column,Column
8 Fees and commission revenue,,,2021,2020,2021,2020
,,,KShs Million,KShs Million,KShs Million,KShs Million
Account transaction fees,,,"1,471","1,574
1,110
541
486
241
256
434",-,-
,"Knowledge based and client
administration fees
Electronic banking fees
Foreign service fees
Documentation and administration",fees,"1,251
591
571
234",,"-
-
-
-","-
-
-
-"
"Brokerage commission
Other bank related fees and commission",,,"216
538",,"-
-","-
-"
,,,"4,872","4,642",-,-
"All net fee and commission revenue reported above relates to financial assets or liabilities not carried at fair value
through profit or loss.
GROUP COMPANY",,,,,,
9 Fees and commission expense,,,"2021
KShs Million","2020
KShs Million","2021
KShs Million","2020
KShs Million"
"Card based commission expenses
Brokerage fees
Other bank related fees and
commission expenses",,,"218
43
479","212
91
279","-
-
-","-
-
-"
,,,740,582,-,-
"10 Trading revenue
Net foreign exchange income
(Loss)/gain in monetary value",,,,,,
,,,"6,031
(43)","6,037
197","-
-","-
-"
,,,"5,988","6,234",-,
11 (a)Net income from financial instruments at fair value through profit or loss,,,,,,
"Fixed Income-financial assets-(FVTPL/
Held for trading)",,,592,9 3,-,-
11 (b)Other (losses)/gains on financial instruments,,,,,,
"Net gain on disposal of financial
assets - FVTPL",,,(143),17,-,-
,,,(143),17,-,-
