FA,"Yes. These are disclosed in the Annual Integrated Report
under the Corporate Governance Statement section.","2019 Annual Integrated Report available on the Company’s
website."
Responses,,
"Application - FA, PA or NA
- See Notes 1, 2, 3, & 4",Application or Explanation - Note 2,Source of Information
FA,"Yes. This role is carried out by the Board, Company Secretary
and Finance function. This is enforced under Section 7.22 of
the Board mandate. There are also documented internal
procedures. Public notices are published in two national
newspapers and on the Company’s website in compliance
with the stipulated timeframe.","Board Mandate and public notices contained on the
Company’s website, as well as correspondence with all
relevant regulators ."
FA,"Information on the Company’s governance, the Board and the
Board Audit Committee are disclosed in the Annual
Integrated Report under the Corporate Governance
Statement.","2019 Annual Integrated Report available on the Company’s
website."
FA,"Yes. The vision, mission, values and strategic objectives of the
Company are included in the Group Strategy section of the
Annual Integrated Report. The Report also outlines the
progress made towards living and achieving these objectives.","The Group Strategy section in the 2019 Annual Integrated
Report."
FA,"Yes. This is explicitly covered within the Corporate
Governance Overview section, Remuneration Overview
section and within the Annual Financial Statements. There is
also a section within the statements, that covers
Remuneration of Directors. Disclosure on the Whistleblowing
Policy has been included in the Risk section of the 2019
Annual Integrated Report.","In the Corporate Governance Overview, Remuneration, Risk
and the Annual Financial Statements sections of the 2019
Annual Integrated Report found on the Company website."
FA,"Yes. The Company’s website contains information pertaining
to the Board Charter, Whistleblowing Policy, Group Code of
Ethics and resignation of Directors.",The Governance section of the Company website
FA,"Yes. This is disclosed in the Audited Financial Statements and
within the Annual Integrated Report, with details of the same
being contained in the Chairman’s statement, and the Chief
Executive’s statement. This also includes the operating
banking subsidiary.","2019 Annual Intergated Report available on the Companies
website."
FA,"Yes. In the Annual integrated Report, the Board has explicitly
disclosed that an independent Governance Audit was carried
out for 2018 and 2019 which confirmed a satisfactory level of
compliance with laws, regulations and standards; ethical
leadership, management of conflict of interest and corporate
social responsibility and citizenship.","The Governance section of the 2019 Annual Integarted
Report."
FA,"Yes. The Board explicitly disclosed in the Annual Integrated
Report that a Governance Audit was carried out and
confirmed that there were no known insider dealings in the
Company.","The Governance section of the 2019 Annual Integrated
Report."
FA,"Yes. The Risk Management Policy, Procurement Policy and IT
Policy of the banking subsidiary of the Company are disclosed
in the Annual Integrated Report. These policies have also
been posted on the Company’s website.","2019 Annual Integrated Report and the Company’s website
under Governance Documents."
FA,"This information has been disclosed in the 2019 Annual
Integrated Report, specifically under the Financial
Statements. No member of the Board or senior management
holds any shares in the Company.","2019 Annual Integrated Report available in the the Company’s
website , Annual Returns filed with the Registrar of
Companies and monthly Reports submitted to the CMA and
NSE."
FA,"Yes. These are disclosed in the Annual Integrated Report
under the Financial Statements.","2019 Annual Integrated Report available on the Company’s
website."
