"31 December 2011
CIB PBB Insurance Total
Shs’ 000 Shs’ 000 Shs’ 000 Shs’ 000"
"3,768,484 2,273,540 - 6,042,024
4,076,892 679,963 - 4,756,855
43,238 - - 43,238
(139,421) (513,432) - (652,853)
(1,206,166) (1,741,250) - (2,947,416)
(2,226,270) (2,216,677) - (4,442,947)"
"4,316,757 (1,517,856) - 2,798,910
(1,564,711) 404,967 (1,159,744)"
"2,752,046 (1,112,889) - 1,639,157"
"- - 199,835 199,835"
"2,752,046 (1,112,889) 199,835 1,838,992"
