Responses,Column,Column
"Application – FA, PA or NA
– see Notes 1, 2, 3 and 4",Application or Explanation – Note 2,Source of information
PA,"Yes, the Board has established a Board
Nominations Committee, comprised solely of
Independent Non-executive Directors and
Non-executive Directors. There are four members,
two of whom are Independent Non-Executive
Board members. The Chairman is independent.
However, as a member of a group of companies,
the Chairman of the Board and the Regional
Chief Executive are required to be members and
they are not independent. The membership of the
committee is confirmed in the Board minutes,
which records the appointment of members.
The composition of the committee in 2020,
including attendance, is published in the
Corporate Governance section of the 2020
Annual Integrated Report.",
FA,"The Board appointed an independent Non-
executive Director to chair the committee,
with effect from 27 February 2020.",
FA,"These are contained in the Company's Articles of
Association, Sections 4.8 – 4.11 of the Governance
Framework, Section 4 of the Board Mandate; and
the Board Nominations Committee Mandate under
Section 7.1. The Nominations Committee evaluates
potential Board members based on the required
skills and on the diversity policy. Selected
candidates are recommended to the Board for
consideration and appointment subject to
regulatory approval.",
