"Year ended 31 December
2021","Gross Carrying
amount
KShs Million",Column,Column,Column,Column,Column,Column,Column,Column,"Total gross
carrying
amount of
default
exposures
KShs Million","Securities
and
expected
recoveries
on default
exposures
KShs
Million","Interest in
suspense
on default
exposures
KShs
Million","Balance
sheet
expected
credit loss
on default
exposures
KShs Million","Gross
default
coverage
%","Non-
performing
exposures
%"
,,SB 1 - 12,,SB 13 - 20,,SB 21- 25,,Default,,,,,,,
,,"Stage 1
KShs Million","Stage 2
KShs Million","Stage 1
KShs Million","Stage 2
KShs Million","Stage 1
KShs
Million","Stage 2
KShs Million","Stage 3
KShs
Million","Purchased/
originated
credit
impaired
KShs
Million",,,,,,
"Loans and advances to
customers",,,,,,,,,,,,,,,
"CHNW
Mortgage loans
Vehicle and asset finance
Card debtors
Other loans and advances","56,053",3,1,"40,526","3,952","4,339","1,350","5,882",-,"5,882","1,908",746,"3,228",68%,10%
,"32,013
3 ,067
6 22
20,351","-
-
-
3","-
1
-
-","22,793
1,905
566
15,262","2,240
4 48
3 5
1,229","2,845
243
-
1,251","1,039
86
-
225","3,096
384
21
2,381","-
-
-
-","3,096
384
21
2,381","1,778
41
14
75","422
63
-
261","896
280
7
2,045","43%
89%
33%
97%","10%
13%
3%
12%"
"BCC
Mortgage loans
Vehicle and asset finance
Card debtors
Other loans and advances","40,230",25,5,"19,391","6,823","1,270","5,583","7,133",-,"7,133","3,174",824,"3,135",56%,18%
,"3 ,851
7 ,661
-
28,718","-
1 7
-
8","-
2
-
3","606
4,695
-
14,090","3,228
1,045
-
2,550","-
217
-
1,053","-
131
-
5,452","17
1,554
-
5,562","-
-
-
-","17
1,554
-
5,562","1
280
-
2,893","9
318
-
497","7
956
-
2,172","94%
82%
0%
48%","0%
20%
0%
19%"
"CIB
Corporate","104,658","1 1,571",-,"79,488","3,927",136,47,"9,489",-,"9,489","5,105",977,"3,442",47%,9%
,"104,658","1 1,571",-,"79,488","3,927",136,47,"9,489",-,"9,489","5,105",977,"3,442",47%,9%
,"200,941","1 1,599",6,"139,405","14,702","5,745","6,980","22,504",-,"22,504","10,187","2,547","9,805",55%,11%
"Loans and advances to
banks
Bank
Gross carrying amount
Less: Total expected credit losses
for loans and advances
Net carrying amount of loans
& advances measured at
amortised cost","44,009","1 2,243",-,"24,422","7,344",-,-,-,-,-,-,-,1,0%,0%
,"244,950","2 3,842",6,"163,827","22,046","5,745","6,980","22,504",-,"22,504","10,187","2,547","9,806",49%,9%
,"( 15,629)",,,,,,,,,,,,,,
,"229,321",,,,,,,,,,,,,,
