Responses,Column,Column
"Application – FA, PA or NA
– see Notes 1, 2, 3 and 4",Application or Explanation – Note 2,Source of information
FA,"Yes. This is contained in the Code of Ethics,
Environmental and Social Policy and in the
Governance Framework. This is further detailed in
the Board Mandate under Sections 4.5, 7.22, 7.24
and 7.38. The Board also emphasises its awareness
of these duties in the Annual Integrated Report
under the Corporate Governance Overview section.
The Social, Economic and Environmental Impact
Framework enhances this decision-making process.",
FA,"The Group Code of Ethics is all encompassing and
applicable uniformly to all Directors, management
and employees. The same is available on the
Company’s website.",
FA,"Yes. This is included in the Board Mandate and
various policies of the Company and its subsidiaries
(the Group). In addition, all employees of the Group
are required to undertake online training and
examination on the Group Code of Ethics.",
FA,"Yes. The evidence is in the documented processes
and Board-approved policies of its subsidiary
companies. Further, this is included under Section
6.5 of the Terms of Reference in the Board Risk
Committee Mandate of the banking subsidiary.",
FA,"The Company’s performance on ethics is disclosed
in the 2020 Annual Integrated Report and through
the formal legal and compliance audit carried out.",
FA,"There is a Whistleblowing Policy in place and
is reviewed annually. The same is available on
the Company’s website and in the Annual
Integrated Report.",
FA,"Yes. There is a Group Corporate Social Investment
Framework, the Environmental and Social Policy
and the Social, Economic and Environmental
Impact Framework.",
FA,"Yes. This has been covered in elaborate detail in
the 2020 Annual Integrated Report, under the
Corporate Governance section.",
FA,"Yes, the same is also contained in the 2020 Annual
Integrated Report.",
