"Equipment
Land and furniture Motor
premises & fittings vehicles Total
Shs’000 Shs’000 Shs’000 Shs’000"
"403,932 2,667,742 130,679 3,202,353
- 534,731 53,175 587,905
- (75) (14,500) (14,575)"
"403,932 3,202,398 169,354 3,775,683"
"23,470 1,196,281 71,500 1,291,251
13,393 157,806 24,705 195,904
- - (10,674) (10,674)"
"36,863 1,354,087 85,531 1,476,481"
"367,069 1,848,311 83,823 2,299,202"
