"Consecutive
number","Mandatory or “apply or
explain” or “good practices”","Part
number",Question,"Kenya code and other
references"
11,M,B.4,"Is the Board size sufficient for the exercise of
the Companys’ business?",2.1.4
12,A or E,B.5,"Has the Board adopted a policy to ensure
Board diversity including age, race and gender
in its composition? Does the Board disclose
measurable objectives for board diversity and
report on these?","2.1.1, 2.1.3, 2.1.5, 2.5.1"
13,M,B.6,"Do Board members represent a mix of skills,
experience, business knowledge and
independence to enable the discharge of their
duties?","2.1.2, 2.2.1"
14,M,B.7,"Has the Board adopted and applied a policy
limiting the number of board positions each
Board member may hold at any one time?",2.1.6
15,M,B.8,"Have any alternate Board members been
appointed? If so, have the alternate Director/s
been appointed according to regulation and
Code requirements?","2.1.6, 2.1.7"
16,M,B.9,"Are Independent Directors at least one-third
of the total number of Board members?","1.1.2, 2.1.3, 2.4.1"
17,A or E,B.10,"Does the Board have policies and procedures
to annually assess the independence of
independent Board members?",2.4.1
18,M,B.11,"Do all Independent Board members have a
tenure of less than nine years?",2.4.2
