GROUP,Column,COMPANY
Year ended 31 December,,Year ended 31 December
"2020
KShs million","2019
KShs million","2020
KShs million"
6 420,"10 297
(833)
(3 198)",2 275
(558),,–
(1 374),,–
4 488,6 266,2 275
,"(6 212)
8 955
4 418
(2 338)
(1 183)
4 424
8 299
2 638
(8 554)",
(5 363),,–
(699),,–
3 655,,–
(134),,–
151,,–
9 691,,–
(8 144),,13
23 221,,–
(1 069),,–
25 797,16 713,2 288
,"8 311
(541)
(65)
6",
(8 301),,–
(408),,–
(166),,–
–,,–
(8 875),7 711,–
,"(1 898)
2 063
–
(346)",
(2 293),,(2 293)
–,,–
(3 998),,–
(325),,
(6 616),(181),(2 293)
10 306,"24 243
(72)
61 040",(5)
(81),,–
85 211,,137
95 436,85 211,132
