NAME,"Q1, FEBRUARY,
27, 2019","Q3, AUGUST,
5, 2019"
,"ATTENDANCE
P
P
P
P",ATTENDANCE
Dorcas Kombo (Chairman),,P
Kitili Mbathi,,N/A
Rose Osoro,,P
Chris Newson,,P
