Column,"100,662",Column,-,Column,-,Column,"100,662"
-,,-,,-,,-,
,-,,-,,-,,-
,"100,662",,-,,-,,"100,662"
-,,"(60,109)",,-,,"(60,109)",
,-,,"(60,109)",,-,,"(60,109)"
,-,,"(60,109)",,-,,"(60,109)"
"100,662",,"(60,109)",,-,,"40,553",
