36,NOTES TO THE CONSOLIDATED CASH FLOW STATEMENT,Column,Column,Column
,,,2004,2003
,,,Sh'OOO,Sh'OOO
,(a),Reconciliation of consolidated profit before taxation,,
,,to net cash from operating activities,,
,,Consolidated profit before taxation,"880,896","529,966"
,,Depreciation,"78,762","83,029"
,,Amortisation of intangible asset,"12,237","10,770"
,,Amortisation of operating lease prepayments,"2,163",350
,,Amortisation of goodwill,,"2,281"
,,(Profit)/Ioss on sale of equipment,(273),"(3,478)"
,,Dividends receivable -quoted and unquoted equity investments,,"(13,866)"
,,Exchange difference on translation of aforeign subsidiary,,"(6,965)"
,,Share of fair value gain in associate,"(17,912)",
,,Fair value adjustment for investment property,"(13,714)",
,,,"942,159","602,087"
,,(Increase)/decrease in operating assets,,
,,Loans and advances to customers,"(3,137,871)","(1,657,260)"
,,Other investments,"251,062",
,,Other assets,"(2,396,250)","(121,962)"
,,Cashratio requirement,"(182,839)","(219,294)"
,,Government securities,"456,635","(3,159,048)"
,,Effects of exchange rate changes,"(3,603)",
,,,"(5,012,866)","(5,157,564)"
,,Increase/(decrease) in operating liabilities,,
,,Customer deposits,"2,805,048","3,165,368"
,,Line of credit,"1,016,250",
,,Other liabilities,"2,786,655","332,583"
,,Deposits due to other banking institutions,"(50,688)","(7,399)"
,,Life fund,"(40,483)",
,,,"6,516,782","3,490,552"
,,Net cash generated/(used) in operating activities,"2,446,075","(1,064,925)"
