Stakeholder,"Engagement
Mechanisms",Priority Issues,Our Response,"Measurement &
Indicator",Value Driver,SDGs,"Capitals
Impacted"
,"Strategy cascade
Goal Setting
Performance reviews:
minimum –twice
annually +quarterly
check‑ins
Employee forums
Employee surveys","Learning, upscaling future
ready capabilities
Wellbeing, health & safety
Diversity & inclusion
Fair remuneration and
benefits","Our people are our
heartbeat.
We invested in
trainings and courses
that our people could
gain future‑ready
skillsets from
We conduct wellness
checks on our people","Investment in
training:
Total training hours
Average training
hours per
employee
Pay parity
Employee
satisfaction","A resilient and motivated workforce, eNPS up by 8% – 1,244 staff
Pay parity – Male:Female‑1:1
Amount spent in training‑KES 89, 162,510 Strengthened Intellectual Capital –
104hrs average training hours per employee and 128,440 total hours
Annual employee health checks and training on psychological safety
Diversity – Male: Female – 51%:49%, Differently abled staff – 0.6%, Youth – 29%
39 youth equipped with relevant workplace skills",,
,"Branch and service
centre interactions
Relationship
managers
Call centre desk
Campaigns
Surveys","Wide access points
Service excellence
Competitive pricing
Digital uptime","We own our
customers experience
We addressed
feedback and
improved our trust
with customers","CSI score
Access points
Customer number","Increased trust and loyalty – Customer number up by 8%
Customer Satisfaction Index ‑ 8.7
99.8% uptime
3 additional service centres and 5 ATMs",,
,"Community forums
Partnerships with
local authorities &
NGOs
CSR activities","Financial literacy
Access to finance
Financial inclusion","We thrive to create
long‑term value
beyond financial
impact in the
communities we serve","D.A.D.A Financial
literacy
Trees planted Green
building loans Agric
sector Sustainable
finance",">204000 tress planted
KES 49.5bn disbursed to D.A.D.A since inception
Over 9,100 individuals trained on financial fitness
All loans above USD 1m screened for E&S risks
KES 4.5bn green building loans issued 9.9% loans of our portfolio issued to
agricultural sector 987 jobs created
KES 133bn trade loans disbursed KES 105.7m MSME funding 21% sustainable finance
KES 1.8bn loans issued in affordable housing resulting to 200 new homeowners",,
,"Quarterly earning
calls
AGM
Group investor
meetings","Stable earnings growth
Strong capital adequacy
ratios
Sustainable dividend policy
Enterprise risk management","We are committed to
delivering sustainable
returns to our
shareholders","Sustainable returns
Share price growth
Capital ratios
Default risk","Sustainable returns dividend up by 7%
44% share price growth year‑on‑year
Total capital at 293bps above required buffers
Sound risk management where Stanbic obtained Fitch Rating of “B”",,
,"Regulatory
reporting
Statutory
submissions
Policy reviews &
feedback forums
On‑site/off‑site
reviews","Capital compliance
requirements
Risk management & asset
quality
Reporting compliance
Effectiveness of AML/CFT
frameworks
Transparency in pricing","Transparency in
compliance
is crucial to our
business","Credit discipline
Capital strength
Fines & penalties
Policy adoption","Enhanced credibility securing the Group’s “License to Operate”
Transparent Revised RBCPM adoption lowering overall cost of risk
Zero fines and penalties
Fire awards runners‑up on IFRS S1&S2 adopters",,
,"Onboarding & Due
Diligence
Performance
Management
Partnership","Fair procurement processes
Timely payment
Performance measurement
clarity","Trust and credibility
in sourcing to drive
long‑term supply
confidence","Females, youth and
PWD led organisations
Spend on local
sourcing","15.5% of our suppliers are youth, women and PWD –led organisations IFC
recognition for championing gender‑inclusive procurement Sustainable brand
supply chain award 2025
KES 7.8bn spent on local suppliers(89%)",,
,"Press releases,
Briefings,
Interviews
Contracts,
Innovation forums","Reputation and public trust
Thought leadership
Operational resilience
Innovation & scalability
Cybersecurity & data
protection","Agile, proactive and
forward‑looking
engagement","Service capability
Cyber‑security
incidents
Spend on IT
Thought leadership
sessions","Launched predictive fraud monitoring capability
21 AI bots across multiple business functions
18 new features on mobile banking platform released
24/7 service capability with full‑spectrum always‑on service capabilities for
complex global clients
IT spend grew 5% YoY due to trageted platform modernisation and stability
enhancements aimed at improving client experience",,
