Column,Column,Income statement movements,Column,Column,Column,Column,Column,Column
"Opening
ECL
1 Jan
2020
KShs","Total
transfers
between
stages
KShs","ECL
on new
exposure
raised
KShs","Derecog-
nition
KShs","Sub-
sequent
changes
in ECL
KShs","Net ECL
raised/
(released)1
KShs","Impair-
ment
accounts
written
off
KShs","Exchange
and
other
move-
ments
KShs","Closing
ECL
31 Dec
2020
KShs"
10,–,3,(4),6,5,–,–,15
52,35,39,(12),(6),21,–,–,108
79,(35),2,(30),4,(24),–,(2),18
9,–,–,(2),–,(2),–,(2),5
70,(35),2,(28),4,(22),–,–,13
141,–,44,(46),4,2,–,(2),141
