"2023
KShs. Million","2022
KShs. Million"
"3,412
3,445
47,119
(3,865)","3,445
3,412
42,390
(2,296)"
"50,111","46,951"
"1,410
12,681","-
10,141"
"14,091",
"64,202","57,092"
"48,379
4,081
287,381
47,075","43,617
5,579
247,883
42,528"
"386,916",
"15.1%
8.0%
13.0%
10.5%
16.6%
14.5%","16.5%
8.0%
13.8%
10.5%
16.8%
14.5%"
