"Level 1 Level 2 Total
Kshs’000 Kshs’000 Kshs’000"
"128,312 23,077,039 23,205,351
- 21,948,112 21,948,112
- 3,391,972 3,391,972"
"128,312 48,417,123 48,545,435"
"128,312 23,077,039 23,205,351
- - -
- 25,340,084 25,340,084"
"128,312 48,417,123 48,545,435"
"- 3,003,522 3,003,522"
"- 3,003,522 3,003,522"
"- 259,676 259,676
- 2,777,183 2,777,183"
"- 3,036,859 3,036,859"
"- 3,036,859 3,036,859"
