Column,2012,2011,2010,2009,2008
,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000
Continuing operations,,,,,
Interest income,"11,653,458","8,603,450","6,079,464","6,162,060","5,073,229"
Interest expense,"(5,110,671)","(2,561,426)","(1,922,806)","(2,341,192)","(2,004,391)"
Non-interest revenue (NIR),"7,549,557","4,756,855","4,640,493","2,699,343","1,844,864"
Credit impairment charges,"(635,429)","(652,853)","(521,441)","(599,149)","(859,959)"
Operating expenditure,"(8,868,827)","(7,390,363)","(6,313,759)","(4,837,041)","(3,082,633)"
Profit in associates,-,"43,238","44,016","21,635","20,709"
Profit before tax,"4,588,088","2,798,901","2,005,967","1,105,656","991,819"
Income tax,"(1,578,197)","(1,159,744)","(598,324)","(479,106)","(305,824)"
Profit for the year from,,,,,
continuing operations,"3,009,891","1,639,157","1,407,643","626,550","685,995"
Dicontinued operations,,,,,
Profit/(loss) for the year from,,,,,
discontinued operations,-,"199,835","379,725","(590,622)","160,598"
Profit for the year,"3,009,891","1,838,992","1,787,368","35,928","846,593"
Selected ratios,,,,,
Return on equity %,11.05%,9.51%,7.22%,0.18%,4.16%
Return on assets %,2.10%,1.22%,1.28%,0.03%,0.66%
NIR to total income %,53.57.%,35.60%,43.29%,36.92%,36.56%
Cost to income ratio %,63.93%,69.0%,74.0%,86.07%,70.11%
