20 960 926,"19 247 721
(7 118 076)",20 957 302,"19 246 098
(7 111 291)",3 624
(7 613 186),,(7 597 158),,(16 028)
13 347 740,"12 129 645
(2 064 462)",13 360 144,"12 134 807
(2 113 139)",(12 404)
(3 150 559),,(3 145 537),,(5 022)
10 197 181,"10 065 183
4 997 605
(442 225)",10 214 607,"10 021 668
4 306 231
(438 547)",(17 426)
5 652 635,,4 882 066,,770 569
(545 202),,(542 164),,(3 038)
5 107 433,"4 555 380
5 350 670
40 938
16 841
891",4 339 902,"3 867 684
4 909 965
40 938
16 841
891",767 531
5 386 939,,5 025 433,,361 506
172 942,,172 925,,17
48 760,,34 824,,13 936
716 999,,716 999,,-
6 325 640,5 409 340,5 950 181,4 968 635,375 459
21 630 254,20 029 903,20 504 690,18 857 987,1 125 564
(6 633 135),"(5 892 324)
(667 536)
-
(4 424 078)
(96 208)",(6 285 130),"(5 582 175)
(663 280)
-
(4 070 895)
(56 785)",(348 005)
(704 364),,(699 326),,(5 038)
(357 470),,(315 822),,(41 648)
(6 076 275),,(5 711 913),,(364 362)
(149 246),,(35 442),,(113 804)
7 709 764,8 947 757,7 457 057,8 484 852,252 707
(1 329 148),(2 670 591),(1 241 764),(2 604 689),(87 384)
6 380 616,6 277 166,6 215 293,5 880 163,165 323
