Responses,Column,Column
"Application – FA, PA or NA
– see Notes 1, 2, 3 and 4",Application or Explanation – Note 2,Source of information
FA,"Yes. The Board is composed of eight Directors,
with room for appointment of seven more
Directors. This is within the requirement stipulated
under Section 2.1 of the Board Mandate and under
Article 99 of the Company’s Articles of Association.",
FA,"Yes. The Company has a Diversity Policy in place
which is available on the Company's website. Further,
Section 7.1.5 of the Board Nominations Committee
Mandate and Section 2.7 of the Board Mandate
emphasise the need for diversity of the Board in
terms of age, race and gender. Diversity in skills,
experience and views is important for the Board to
ensure effective monitoring of the Company and
delivery of value to diverse stakeholders.",
FA,"Yes, they do. This is a requirement under Section
4.2 of the Board Mandate. The mix of skills,
knowledge, business experience and independence
of the Board members has been indicated in the
Annual Integrated Report under the skills matrix
and in the Directors' individual profiles.",
FA,"Only where it interferes with discharge of duties.
The conflicts of interest section of the Board
Mandate under 9.1, 9.2 and 9.3 requires disclosure
of multiple directorships and annual declaration of
the same, or immediate disclosure where an
appointment occurs between annual declarations.
A current declaration of interests register and
conflict of interest register are maintained by the
Company Secretary. The Board is also guided by the
Company’s Governance Framework Section 7.4 and
by applicable regulations, notably regarding number
of directorships allowed on public listed companies.",
FA,"There are currently no alternate directors
appointed. The Articles of Association, however,
allow for appointment of alternate directors.",
FA,"Yes. As at 31 December 2020, four of the eight
Directors on the Board were Independent
Non-executive Directors. This is disclosed in the
2020 Annual Integrated Report.",
FA,"Yes. In compliance with Section 10 of the Board
Mandate, the Board conducts a Board evaluation
exercise in the first quarter of every financial year
(with the last exercise being carried out on
17 March 2021 for the year ending
31 December 2020 by an independent service
provider, in line with recommended best practice).
This includes an evaluation of the independence of
Independent Directors. A register of declaration of
interest is also mandated under Section 9.6 of the
Board Mandate and a record of the same
maintained by the Company Secretary. There is
also a register with the declaration of independence
by the directors, in line with the applicable
regulations. A report on the independence status
of Non-executive Directors is also submitted to the
Board on an annual basis.",
FA,"Yes. This is stipulated in the Board Mandate under
Section 4.6. After expiry of this period, such
Directors are designated as Non-Independent
Non-executive Directors",
