"30 June 2025
‘KShs’000
(Unaudited)","31 Dec 2024
‘KShs’000
(Audited)","30 June 2024
‘KShs’000
(Unaudited)"
"9,097,571","19,171,933
(1,029,949)
(8,722,381)","12,203,420"
"(504,950)",,"(532,763)"
"(3,132,830)",,"(5,106,960)"
"5,459,791","9,419,603
(33,035,770)","6,563,697"
"(8,280,776)",,"15,106,989"
"(2,820,985)","(23,616,167)
(7,677,234)
(6,755,959)","21,670,686"
"9,028,315",,"(3,402,235)"
"(5,093,373)",,"(5,878,567)"
"1,113,957","(38,049,360)
(2,919,003)
102,044,298","12,389,884"
"(263,096)",,"(2,741,580)"
"61,075,935",,"102,044,298"
"61,926,796","61,075,935","111,692,602"
