Column,GROUP,Column,Column,Column
Year ended 31 December 2025,01.01.2025,"(Credited)/charged
to statement of
profit or loss","Translation
difference",31.12.2025
,(10),2,‑,(8)
,16,‑,‑,16
,(67),‑,(10),(77)
,106,42,‑,148
,(20),(13),‑,(33)
,25,31,(10),46
