Column,"USD LIBOR
2021
KShs million"
Total assets subject to IBOR reform,"37,767"
Derivative Assets1,559
Financial Investments,
Loans and Advances,"37,208"
Trading Assets,
Total liabilities subject to IBOR reform,"(12,922)"
Derivative Liabilities1,(559)
Deposits and debt funding,"(6,663)"
Borrowings,"(5,700)"
Trading Liabilities,-
"Total off balance sheet exposures subject to IBOR reform
Off balance sheet items",-
,-
