Column,Column,2015,Column,Column,Column,Column,Column,2014,Column,Column,Column,Column
,,Fair values,,,,,,Fair values,,,,
,,Notional,Assets,,Liabilities,,,Notional,Assets,,Liabilities,
,,contract,,,,,,contract,,,,
,,amount,,,,,,amount,,Assets,,Liabilities
,KShs'000 KShs'000 KShs'000,,,,,,,KShs'000,,KShs'000,,KShs'000
Foreign exchange derivatives,,,,,,,,,,,,
Currency forwards,,"27,166,604",,"806,252",,"344,391",,"19,528,134",,"157,321",,"495,278"
Currency swaps,,"29,290,760",,"474,439",,"169,212",,"17,184,268",,"92,088",,"25,980"
Currency options,,"15,591,707",,"489,350",,"240,593",,"6,468,325",,"301,544",,"301,544"
Total over-the-counter,"72,049,071",,"1,770,041",,"754,196",,"43,180,727",,"550,953",,"822,802",
derivatives,,"72,049,071",,"1,770,041",,"754,196",,"43,180,727",,"550,953",,"822,802"
Interest rate derivatives,,,,,,,,,,,,
Cross currency interest rate,"38,796,546",,"2,188,147",,"2,188,236",,-,,"462,596",,"462,596",
swaps,,"38,796,546",,"2,188,147",,"2,188,236",,-,,"462,596",,"462,596"
Interest rate swaps,,-,,"419,008",,"419,008",,"36,138,477",,"946,866",,"946,866"
Total over-the-counter,"38,796,546",,"2,607,155",,"2,607,244",,"36,138,477",,"1,409,462",,"1,409,462",
derivatives,,"38,796,546",,"2,607,155",,"2,607,244",,"36,138,477",,"1,409,462",,"1,409,462"
Total derivative assets held for,"110,845,617",,"4,377,196",,"3,361,440",,"79,319,204",,"1,960,415",,"2,232,264",
trading,,"110,845,617",,"4,377,196",,"3,361,440",,"79,319,204",,"1,960,415",,"2,232,264"
Current,,"64,485,198",,"1,571,689",,"670,595",,"38,319,237",,"300,217",,"579,637"
Non-current,,"46,360,419",,"2,805,507",,"2,690,845",,"40,999,967",,"1,660,199",,"1,652,627"
