"Notes (continued)
GROUP COMPANY",Column,Column,Column,Column,Column
8 Fees and commission revenue,,2024,2023,2024,2023
,,KShs Million,KShs Million,KShs Million,KShs Million
Account transaction fees,,"1,453","1,856
1,705
1,204
644
109
204
948",-,-
,"Knowledge based and client
administration fees
Electronic banking fees
Foreign service fees
Documentation and administration fees","1,323
1,201
659
91",,"-
-
-
-","-
-
-
-"
"Brokerage commission
Other bank related fees and commission",,"235
1,080",,"-
-","-
-"
,,"6,042","6,670",-,-
"All net fee and commission revenue reported above relates to financial assets or liabilities not carried at fair value
through profit or loss.
Fees and commission income from contracts with customers is measured based on the consideration specified in a
contract with a customer. The Group recognises revenue when it transfers control over a service to a customer.
GROUP COMPANY",,,,,
9 Fees and commission expense,,"2024
KShs Million","2023
KShs Million","2024
KShs Million","2023
KShs Million"
"Card based commission expenses
Brokerage fees
Other bank related fees and commission
expenses",,"477
74
518","473
27
532","-
-
-","-
-
-"
,,"1,069","1,032",-,-
"10 Trading revenue
Net foreign exchange income
Loss in monetary value",,,,,
,,"7,591
(89)","1 0,247
-","-
-","-
-"
,,"7,502","10,247",-,
11 (a)Net gain/ (loss) from financial instruments at fair value through profit or loss,,,,,
Fixed gain/ (loss) -financial instruments-(FVTPL),,"2,849",( 92),-,-
11 (b)Other (losses)/gains on financial instruments,,,,,
Net loss on disposal of financial assets,,(32),(277),-,-
