Year ended 31 December 2017,"Total loans and
advances KShs'000
2017","Balance sheet
impairments for
performing loans
KShs'000
2017",Performing loans,Column,Column,Non-performing loans ( NPL),Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,"Interest in
Suspense
KShs'000
2017"
,,,Neither past due nor specifically impaired,,"Past due but not specifically
impaired",,Specifically impaired loans,,,,,,,,"Total non-
performing loans
KShs'000
2017","Non-performing
loans
%",
,,,,,,,NPL NET OF IIS (interest in suspense),,,,,,,,,,
,,,"Normal monitoring
KShs'000
2017","Close monitoring
KShs'000
2017","Early arrears
KShs'000
2017","Non-
performing
KShs'000
2017","Sub-standard Doubtful Loss
KShs'000 KShs'000 KShs'000
2017 2017 2017",,,"Total
KShs'000
2017","Securities and Net after securities Balance sheet
expected and expected impairments for
recoveries on recoveries on non-performing Gross
specifically specifically specifically specific
impaired loans impaired loans impaired loans impairment
KShs'000 KShs'000 KShs'000 coverage
2017 2017 2017 %",,,,,,
,N=A=B=C+L,A B C,,,,D,E,F G H=E+F+G,,,I,J=H-I K,,,L=H+D,,M
Personal and Business Banking,65 639 943,378 864,48 122 211,7 168 528,6 832 168,-,1 171 006,2 077 483,2 68 548,3 517 037,1 884 756,1 632 281,1 632 281,46%,3 517 037,5%,5 03 268
- Mortgage lending,"2 5 411 817
1 3 149 039
5 75 242","1 22 694
8 9 734
7 733","1 8 964 809
9 064 565
5 04 102","2 818 329
3 56 683
-","2 714 021
2 408 572
4 8 033","-
-
-","1 55 217
4 22 076
-","7 57 502
8 73 041
-","1 938
2 4 102
2 3 108","9 14 658
1 319 219
2 3 108","6 63 910
5 91 806
4 901","2 50 748
7 27 413
1 8 207","2 50 748
7 27 413
1 8 206","27%
55%
79%","9 14 658
1 319 219
2 3 108","4%
10%
4%","2 08 988
1 49 453
-"
- Instalment sales and finance leases,,,,,,,,,,,,,,,,,
- Card debtors,,,,,,,,,,,,,,,,,
- Other loans and advances,2 6 503 845,1 58 703,1 9 588 735,3 993 516,1 661 542,-,5 93 713,4 46 940,2 19 400,1 260 053,6 24 139,6 35 914,6 35 914,50%,1 260 053,5%,1 44 827
"Corporate and Investment Banking
- Corporate lending","7 0 159 872
7 0 159 872","1 641 540
1 641 540","5 6 186 734
5 6 186 734","4 408 933
4 408 933","4 353 318
4 353 318",-,-,"5 182 008
5 182 008","2 8 879
2 8 879","5 210 887
5 210 887","3 599 567
3 599 567","1 611 320
1 611 320","1 611 320
1 611 320","31%
31%","5 210 887
5 210 887
-","7%
7%","1 160 705
1 160 705"
"Gross loans and advances to
customers",1 35 799 815,2 020 404,1 04 308 945,1 1 577 461,1 1 185 486,-,1 171 006,7 259 491,2 97 427,8 727 924,5 484 323,3 243 601,3 243 601,37%,8 727 924,6%,1 663 973
Percentage of total book (%),100.0%,1.5%,76.8%,8.5%,8.2%,0.0%,0.9%,5.3%,0.2%,6.4%,4.0%,2.4%,2.4%,,6.4%,,1.2%
"Less:
Impairment for performing Loans and
advances
Impairment for non performing Loans
and advances","( 2 020 404)
( 3 243 601)",,,,,,,,,,,,,,,,
Net loans and advances,1 30 535 810,,,,,,,,,,,,,,,,
