Responses,Column,Column
"Application – FA, PA or NA
– see Notes 1, 2, 3 and 4",Application or Explanation – Note 2,Source of information
FA,"Yes. This role is carried out by the Board, Company
Secretary and Finance function. This is enforced
under Section 7.22 of the Board Mandate. There
are also documented internal procedures. Public
notices are published in two national newspapers
and on the Company’s website in compliance with
the stipulated timeframe.",
FA,"Information on the Company’s governance,
the Board and the Board Audit Committee are
disclosed in the Annual Integrated Report under
the Corporate Governance Statement.",
FA,"Yes. The vision, mission, values and strategic
objectives of the Company are included in the Group
Strategy section of the Annual Integrated Report.
The Report also outlines the progress made
towards living and achieving these objectives.",
FA,"Yes. This is explicitly covered within the Corporate
Governance Overview section, Remuneration
Overview section and within the Annual Financial
Statements. There is also a section within the
statements, that covers remuneration of directors.
Disclosure on the Whistleblowing Policy has been
included in the Risk section of the 2020 Annual
Integrated Report.",
FA,"Yes. The Company’s website contains information
pertaining to the Board Charter, Whistleblowing
Policy, Group Code of Ethics and resignation
of Directors.",
FA,"Yes. This is disclosed in the Audited Financial
Statements and within the Annual Integrated
Report, with details of the same being contained
in the Chairman’s statement, and the Chief
Executive’s statement. This also includes the
operating banking subsidiary.",
