Column,1.1.2011,Consolidation,Credited /,"Charged
to OCI","Net assets
held for
distribution",31.12.2011
,,adjustment,(charged),,,
,,,to income,,,
,,,statement,,,
Year ended 31 December,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
2011,,,,,,
Arising from:,,,,,,
Property and equipment,"(236,228)",-,"50,606",-,-,"(185,622)"
Unrealised gain on bonds,"(199,414)",-,"53,950","684,424",-,"538,960"
Portfolio impairment,"65,277",-,"127,342",-,-,"192,619"
Revaluation surplus,"(36,779)",-,-,-,-,"(36,779)"
Other provisions,"206,701",-,"102,044",-,"(1,438)","307,307"
Group intangible assets,-,"(333,900)","133,543",-,-,"(200,357)"
Net deferred (liability) /,,,,,,
asset,"(200,443)","(333,900)","467,485","684,424","(1,438)","616,128"
