Statement of profit or loss,Column,Column,Column,Column,Column,Column
,Total Group,,CIB,,PBB,
,2014,"2013
Kshs’000",2014,2013,2014,2013
,Kshs’000,,Kshs’000,Kshs’000,Kshs’000,Kshs’000
,,"10,336,492
(2,794,378)",,,,
Interest income,"11,642,457",,"6,918,617","5,991,264","4,723,840","4,345,228"
Interest expense,"(3,180,512)",,"(2,269,415)","(1,688,475)","(911,097)","(1,105,903)"
Net interest income,"8,461,945","7,542,114","4,649,202","4,302,789","3,812,743","3,239,325"
,,"(766,601)",,,,
"Impairment (losses)/credits on loans
and advances","(702,822)",,"(60,729)","7,274","(642,093)","(773,875)"
"Net interest income after loan
impairment charges","7,759,123","6,775,513","4,588,473","4,310,063","3,170,650","2,465,450"
,,"3,189,124
(308,398)",,,,
Fees and commission income,"3,554,511",,"1,646,545","2,036,795","1,907,966","1,152,329"
Fees and commission expense,"(246,864)",,"(3,215)","(51,824)","(243,649)","(256,574)"
Net fees and commission income,"3,307,647","2,880,726","1,643,330","1,984,971","1,664,317","895,755"
,,"5,659,242
121,000",,,,
Trading income,"4,779,322",,"4,779,322","5,659,242",-,-
Net other operating income,"321,584",,"103,569","94,435","218,015","26,565"
Net trading and other income,"5,100,906","5,780,242","4,882,891","5,753,677","218,015","26,565"
,,"(4,030,095)
(623,358)
(3,559,023)",,,,
Employee benefits,"(4,472,141)",,"(2,029,581)","(2,041,993)","(2,442,560)","(1,988,102)"
Depreciation and amortisation expense,"(556,912)",,"(220,141)","(265,740)","(336,771)","(357,618)"
Administrative expenses,"(3,438,377)",,"(1,969,391)","(2,287,370)","(1,468,986)","(1,271,653)"
Profit/(Loss) before tax,"7,700,246","7,224,005","6,895,581","7,453,608","804,665","(229,603)"
,,"(2,096,849)",,,,
Income tax expense,"(2,013,585)",,"(1,791,415)","(2,190,329)","(222,170)","93,480"
Profit/(Loss) for the year,"5,686,661","5,127,156","5,104,166","5,263,279","582,495","(136,123)"
