Performing (early arrears),Column,Column,Non-performing,Column,Column
"1 to
29 days
KShs
million","30 to
59 days
KShs
million","60 to
89 days
KShs
million","90 to
180 days
KShs
million","More than
180 days
KShs
million","Total
KShs
million"
6 834,2 067,842,–,–,9 743
2 385,542,402,–,–,3 329
1 340,554,79,–,–,1 973
3 109,971,361,–,–,4 441
4 325,114,2,–,–,4 441
11 159,2 181,844,–,–,14 184
