Agriculture,1 071 103,1%,800 681,4%
Manufacturing,4 785 461,6%,7 329 822,7%
Construction,18 423 129,23%,12 939 274,8%
Energy,98 475,0%,622 164,18%
Transport and communication,1 269 508,2%,2 002 709,6%
Distribution/wholesale,15 803 464,20%,10 663 335,9%
Financial Services,36 243 273,46%,53 322 058,40%
Tourism,120 863,0%,169 858,3%
Other activities and social service,1 610 871,2%,1 461 523,5%
,79 426 147,100%,89 311 424,100%
