"Off-balance sheet exposure
Year ended 31 December 2023",Column,Column
"Letters of credit and bankers’ acceptances
Guarantees
Unutilised facilities","30,976
65,303
16,794","1,014 - 29,942 2 0 - - - -
50,246 - 13,416 1 ,600 2 - 39 -
1,812 - 14,896 7 8 6 - 2 -"
Gross carrying amount,"113,073","53,072 - 58,254 1 ,698 8 - 41 -"
Less: Total expected credit lossess,(93),
"Net carrying amount of off-balance sheet
exposure","112,980",
