Column,Column,Column,Column,2004,2003
,,,,Sh'OOO,Sh'OOO
4,INTEREST INCOME,,,,
,Loans and advances,,,"936,944","815,593"
,Government securities,,,"441,552","221,771"
,Placements and bank balances,,,"52,109","66,554"
,Other,,,"19,889",
,,,,"1,450,494","1,103,918"
5,INTEREST EXPENSE,,,,
,Customer deposits,,,"294,981","293,123"
,Deposits and placements from other banks,,,"35,317","18,564"
,Interest on borrowed funds,,,"6,778",
,,,,"337,076","311,687"
6,OTHER OPERATING INCOME,,,,
,Insurance premiums earned,,,"1,717,814","1,038,401"
,Profit on disposal of quoted equity investments,,,"130,643","168,015"
,Other income,,,"54,764","124,938"
,Dividends from quoted equity investments,,,"33,373","21,532"
,Rental income,,,"48,996","5,462"
,Profit on disposal of equipment,,,273,"3,136"
,,,,"1,985,863","1,361,484"
2,0,0,4,,
