Non-performing loans,Column,Column,Column,Column,Column,Column,Column,Column,Column
"Specifically impaired
loans",,,,,,,"Total non-
performing
loans
KShs’000
2014","Non-
performing
loans as a
%
2014","Interest in
Suspense
KShs’000
2014"
NPL* NET OF IIS**,,,,,,,,,
"Doubtful
KShs’000
2014","Loss
KShs’000
2014","Total
KShs’000
2014","Securities and
expected recov-
eries on specif-
ically impaired
loans
KShs’000
2014","Net after
securities
and expected
recoveries on
specifically
impaired loans
KShs’000
2014","Balance sheet
impairments for
non-performing
specifically
impaired loans
KShs’000
2014","Gross specific
impairment
coverage
%
2014",,,
F,G,H=E+F+G,I,J=H-I,K,,L=H+D,,M
"140,401","608,335","1,635,143","682,031","908,112","908,113",58%,"1,635,143",4%,"241,772"
-,"2,468","383,411","333,643","49,768","4,768",13%,"383,411",3%,"95,707"
"135,546","21,423","412,745","134,000","278,745","278,745",68%,"412,745",4%,"52,128"
-,"9,386","9,386","3,773","5,613","5,613",60%,"9,386",3%,-
"4,855","575,058","829,601","210,615","618,986","618,987",75%,"829,601",4%,"93,937"
"44,707",-,"1,388,587","1,238,634","149,953","149,953",11%,"1,388,587",3%,"104,570"
"44,707",-,"1,388,587","1,238,634","149,953","149,953",11%,"1,388,587",3%,"104,570"
"185,108","608,335","3,023,730","1,920,665","1,103,065","1,058,066",36%,"3,023,730",3%,"346,342"
0.20%,0.67%,3.35%,2.13%,1.22%,1.22%,,3.35%,,0.38%
