Standards and amendments,Key requirements,Effective date
"Amendments to IFRS 10
and IAS 28
(issued in September 2014)","The International Accounting Standards Board (IASB) has published “Sale
or Contribution of Assets between an Investor and its Associate or Joint
Venture (Amendments to IFRS 10 and IAS 28)”. The amendments address
a conflict between the requirements of IAS 28: Investments in Associates
and Joint Ventures and IFRS 10: Consolidated Financial Statements and
clarify that in a transaction involving an associate or joint venture the
extent of gain or loss recognition depends on whether the assets sold or
contributed constitute a business.","Deferred
indefinitely"
"IFRS 17
(issued in May 2017)","IFRS 17: Insurance Contracts establishes the principles for the recognition,
measurement, presentation and disclosure of insurance contracts issued.
It also requires similar principles to be applied to reinsurance contracts
held and investment contracts with discretionary participation features
issued. The objective is to ensure that entities provide relevant information
in a way that faithfully represents those contracts. The Group does not
issue insurance contracts.",1 January 2023
"IAS 1
(issued in January 2020)","Amendments to IAS 1 Classification of Liabilities as Current or Non-
current clarify a criterion for classifying a liability as non-current: the
requirement for an entity to have the right to defer settlement for at least
12 months after the reporting date.",1 January 2022
"IFRS 3
(issued in May 2020)","Amendments to IFRS 3: Business Combinations – Reference to the
Conceptual Framework are intended to replace a reference to the
Framework for the Preparation and Presentation of Financial Statements,
issued in 1989, with a reference to the Conceptual Framework for
Financial Reporting issued in March 2018 without significantly
changing its requirements. The amendments added an exception to the
recognition principle of IFRS 3 to avoid the issue of potential “day 2”
gains or losses arising for liabilities and contingent liabilities that would
be within the scope of IAS 37 or IFRIC 21: Levies, if incurred separately.
The amendments also clarify that contingent assets do not qualify for
recognition at the acquisition date.",1 January 2022
"IAS 16
(issued in May 2020)","Amendments to IAS 16: Property, Plant and Equipment: Proceeds before
Intended Use prohibit entities from deducting from the cost of an item of
property, plant and equipment, any proceeds from selling items produced
while bringing that asset to the location and condition necessary for it to
be capable of operating in the manner intended by management. Instead,
an entity recognises the proceeds from selling such items, and the costs
of producing those items, in profit or loss.",1 January 2022
"IAS 37
(issued in May 2020)","Amendments to IAS 37 Onerous Contracts – Costs of Fulfilling a Contract
specify which costs an entity needs to include when assessing whether a
contract is onerous or loss-making.",1 January 2022
"IFRS 1
(issued in May 2020)","Amendment to IFRS 1: First-time Adoption of International Financial
Reporting Standards ‘Subsidiary as a first-time adopter’ permits a
subsidiary that elects to apply paragraph D16(a) of IFRS 1 to measure
cumulative translation differences using the amounts reported by the
parent, based on the parent’s date of transition to IFRS. This amendment
is also applied to an associate or joint venture that elects to apply
paragraph D16(a) of IFRS 1.",1 January 2022
"Amendment to IFRS 9
(issued in May 2020)","Amendment to IFRS 9: Financial Instruments “Fees in the ’10 per cent’
test for derecognition of financial liabilities” clarifies the fees that an
entity includes when assessing whether the terms of a new or modified
financial liability are substantially different from the terms of the original
financial liability. These fees include only those paid or received between
the borrower and the lender, including fees paid or received by either the
borrower or lender on the other’s behalf.",1 January 2022
