"Total
2020
KShs million","Total
2019
KShs million","Kenya
2020
KShs million","Kenya
2019
KShs million","South Sudan
2020
KShs million"
20 302,"20 961
(7 613)",20 296,"20 957
(7 597)",6
(7 507),,(7 411),,(96)
12 795,"13 348
5 653
(545)",12 885,"13 360
4 882
(542)",(90)
4 642,,3 729,,913
(582),,(542),,(40)
4 060,"5 108
5 330
173
49
717",3 187,"4 340
5 025
173
35
717",873
6 234,,5 403,,831
93,,93,,–
38,,38,,–
17,,17,,–
6 382,6 269,5 551,5 950,831
23 237,24 725,21 623,23 650,1 614
(4 876),(3 151),(4 877),(3 146),1
18 361,21 574,16 746,20 504,1 615
(5 929),"(6 633)
(704)
(357)
(6 077)
(93)",(5 304),"(6 285)
(699)
(315)
(5 713)
(35)",(625)
(804),,(788),,(16)
(458),,(327),,(131)
(4 895),,(4 387),,(508)
(48),,(24),,(24)
6 227,7 710,5 916,7 457,311
(1 035),(1 329),(1 047),(1 242),12
5 192,6 381,4 869,6 215,323
