"Sensitivity Sensitivity
Increase Sensitivity of other Decrease Sensitivity of other
in basis of net comprehensive in basis of net comprehensive
points interest income income points interest income income
2013 2013 2013 2013 2013 2013
Currency KShs’000 KShs’000 KShs’000 KShs’000 KShs’000 KShs’000"
"KShs 550 488,246 (886,626) 300 (338,167) 483,614
Others 75 49,579 - 75 (197,019) -"
