"Notes (continued)
23 Loans and advances (continued)
23 (b) Loans and advances to customers GROUP",Column,Column
"Note
Mortgage lending
Vehicle and asset finance (note 23(e))
Overdraft and other demand lending
Term lending
Card lending
Gross loans and advances to customers
Allowances for impairments
Expected credit loss for loans and advances measured
at amortised cost (IFRS 9) 23(d (i))
Credit impairment allowances
Net loans and advances","2024
KShs Million","2023
KShs Million"
,"3 6,365
1 3,920
2 8,854
1 68,035
8 83","4 0,794
1 3,047
3 2,518
1 92,564
8 01"
,"2 48,057","2 79,724"
,"(17,839)","( 19,215)"
,"( 17,839)","( 19,215)"
,"2 30,218","2 60,509"
Maturity analysis:,,
"Redeemable on demand
Maturing within 1 month
Maturing after 1 month but within 6 months
Maturing after 6 months but within 12 months
Maturing after 12 months but within 5 years
Maturing after 5 years
Net loans and advances","16,430
17,057
32,396
12,933
83,301
68,101","5,670
50,921
55,387
6,674
78,251
63,606"
,"230,218","260,509"
