"Notes (continued)
Related party transactions (continued)
42 (a) Loans due from group banks
GROUP COMPANY",Column,Column,Column,Column,Column,Column
"Stanbic Bank Kenya Limited
Stanbic Bank Uganda Limited
Stanbic Bank Tanzania Limited
Standard Bank of South Africa Limited
Standard Bank Isle of Man Limited",,,"2024
KShs Million","2023
KShs Million","2024
KShs Million","2023
KShs Million"
,,,"-
1,239
134
15,770
42,278","-
886
1 31
9 ,727
7 9,834","159
-
-
-
-","216
-
-
-
-"
,,,"5 9,421","9 0,578",1 59,2 16
,Interest income earned on the above is:,,"5,429","2 ,496",2 5,
"42 (b) Deposits due to group banks
GROUP",,,,,,
,,,,,2024,2023
"Standard Bank of South Africa Limited
Stanbic Bank Uganda Limited
Stanbic Bank Zambia Limited
Stanbic Bank Zimbabwe Limited
Stanbic Bank Botswana Limited
Standard Bank (Mauritius) Limited
Standard Bank Isle of Man Limited
Stanbic Bank Tanzania Limited",,,,,KShs Million,KShs Million
,,,,,"1,246
316
-
1
3
6
7,026
42","2,128
636
2
1
5
1
10,185
74"
,,,,,"8,640","13,032"
,Interest expense incurred on the,above is:,,,644,
