31 December 2020,Performing (Early arrears),Non - performing,"Total
KShs Million"
,"1 to 29 days 30 to 59 days 60 to 89 days
KShs Million KShs Million KShs Million","90 to 180 days More than 180 days
KShs Million KShs Million",
CHNW,"3 ,696 9 90 5 82",- -,"5 ,268"
"Mortgage lending
Vehicle and asset finance
Other loans and advances","2 ,367 5 28 4 02
4 96 2 09 4 5
8 33 2 53 1 35","- -
- -
- -","3 ,297
7 50
1 ,221"
BCC,"3,138 1,077 2 60",- -,"4,475"
"Mortgage lending
Vehicle and asset finance
Other loans and advances","17 14 -
845 345 3 4
2,276 718 2 26","- -
- -
- -","3 1
1 ,224
3 ,220"
Corporate and Investment Banking,"4,325 114 2",- -,"4,441"
Corporate lending,"4,325 114 2",- -,"4 ,441"
Total recognised financial instruments,"11,159 2,181 8 44",- -,"14,184"
