Column,Priority Area,Planned Initiatives
1,"Invest further in Private and Commercial banking
segments",Investment in further Relationship Managers
2,"Raise cheaper deposits i.e. current and savings
accounts to improve margins",Local (7%) and foreign (3%) currency deposit campaigns
3,"Invest significantly in mobile and internet banking
capabilities","Scaling our new Mobile and Internet Banking platforms
Investing further in our digital platforms and capabilities"
4,"Invest in non interest revenue activities to improve
returns","Growing our bancassurance business
Card acquiring implemented"
5,"Enhance customer experience through improved
turnaround times","Implement improvement initiatives covering our account
opening, lending and payments/collections processes"
6,Opening of new branches,"Two Rivers Branch, 6 ATMs and 10 BNAs"
