20 Financial assets and liabilities – FVTPL,Column,Column,Column,Column
20 (a),Financial assets – (FVTPL),GROUP,,
"Debt securities
Government treasury bills and bonds
Trading assets
Investment in unit trusts",,,"2024
KShs Million","2023
KShs Million"
,,,"3 2,815
2 1,782
5 2","2 ,898
-
-"
,,,"54,649","2 ,898"
Maturity analysis;,,,,
"Maturing on demand
Maturing within 1 month
Maturing after 1 months but within 6 months
Maturing after 6 months but within 12 months
Maturing after 12 months but within 5 years
Maturing after 5 years",,,"5 2
3 ,874
2 2,596
1 9,643
4 ,657
3 ,827","-
5
2
3 7
2 ,675
1 79"
,,,"5 4,649","2 ,898"
20 (b),Financial liabilities – FVTPL,GROUP,,
Unlisted,,,"2024
KShs Million","2023
KShs Million"
,,,"1 6,322","1 4,071"
Maturity analysis;,,,,
"Maturing within 1 month
Maturing after 1 months but within 6 months
Maturing after 6 months but within 12 months
Maturing after 12 months but within 5 years
Maturing after 5 years",,,"5 ,546
4 ,121
8 87
3 ,018
2 ,750","8 8
6 ,316
3 ,044
4 ,055
5 68"
,,,"1 6,322","1 4,071"
