STANBIC HOLDINGS PLC BOARD ATTENDANCE FOR 2019,Column,Column,Column,Column,Column
,NAME,"Q1, FEBRUARY 28, 2019","Q2, MAY 3, 2019","Q3, AUGUST 6, 2019","Q4, NOVEMBER 27, 2019"
,,"ATTENDANCE
P
P
P
P
P
AP
P
P
P
P",ATTENDANCE,"ATTENDANCE
N/A
AP
P
P
P
N/A
P
P
P
P",ATTENDANCE
,Fred Ojiambo,,P,,N/A
,Greg Brackenridge,,P,,P
,Christopher Newson,,P,,P
,Kitili Mbathi,,AP,,P
,Rose Kimotho,,P,,P
,Edward Njoroge,,P,,N/A
,Ruth T. Ngobi,,P,,AP
,Peter Gethi,,P,,P
,Rose Osoro,,P,,P
,Dorcas Kombo,,P,,P
