Column,"3,103,632",-,-,-,"3,998,955","7,102,587"
,"15,838","306,234","5,509,283","23,819,394",-,"29,650,749"
,"12,611,404","7,351,252","10,743,865",-,-,"30,706,521"
,"16,110,271","2,097,556","1,649,265","24,107,959","46,618,523","90,583,574"
Derivative assets,"47,792","1,242,229","1,014,690","4,045,057","27,642","6,377,410"
,"31,888,937","10,997,271","18,917,103","51,972,410","50,645,120","164,420,841"
Derivative liabilities,"15,849","1,445,689","1,306,036","3,634,044","27,642","6,429,260"
Trading liabilities,"611,738",-,"27,080",-,"9,853","648,671"
,"24,814,186",-,"2,647,916","6,282,387",-,"33,744,489"
,"52,803,950","20,360,099","1,328,105","3,998",-,"74,496,152"
,-,-,"425,091","6,107,085","2,550,625","9,082,801"
,"7,960,659",-,-,-,-,"7,960,659"
,"86,206,382","21,805,788","5,734,228","16,027,514","2,588,120","132,362,032"
,"(54,317,445)","(10,808,517)","13,182,875","35,944,896","48,057,001","32,058,809"
