39,CURRENCY RISK,Column,Column,Column,Column,Column,Column
,The bank operates wholly within Kenya and its assets are reported in the local currency. Although it maintains trade,,,,,,
,"with other correspondent banks, and hasasubsidiary with majority shareholding in acompany in Tanzania, it held no",,,,,,
,significant foreign currency exposure asat 31 December 2004.,,,,,,
,The group takes deposits and lends in currencies other than Kenyan shillings. The bank's currency position and exposure,,,,,,
,are managed within the exposure guideline of 20%of core capital asstipulated byCentral Bank of Kenya. The significant,,,,,,
,currency positions are detailed below:,,,,,,
,At 31 December 2004,,,,,,
,,Local,,,,,
,,currency,USDollar,GBPound,Euro,Others,Total
,GROUP,Sh'OOO,Sh'OOO,Sh'OOO,Sh'OOO,Sh'OOO,Shs'OOO
,ASSETS,,,,,,
,Cashand balances with,"919,387","36,863","6,715","3,883",265,"967,113"
,Central Bank of Kenya,,,,,,
,Government securities,"9,124,433",,,,,"9,124,433"
,Deposits and balances,,,,,,
,duefrom banking institutions,"581,821","367,082","310,218",602,"4,891","1,264,614"
,Loans and advances,,,,,,
,to customers,"8,360,303","1,930,367","19,783","658,912",,"10,969,365"
,Other assets,"3,944,046","31,413",143,"3,020",107,"3,978,729"
,Investment in associate,"107,095",,,,,"107,095"
,Taxation recoverable,"5,185",,,,,"5,185"
,Investment property,"152,250",,,,,"152,250"
,Other investments,"1,229,479",,,,,"1,229,479"
,Property and equipment,"823,240",,,,,"823,240"
,Operating leaseprepayments,"36,109",,,,,"36,109"
,Goodwill,"1,084,647",,,,,"1,084,647"
,Intangible assets,"18,946",,,,,"18,946"
,Deferred tax asset,"54,357",,,,,"54,357"
,TOTAL ASSETS,"26,441,298","2,365,725","336,859","666,417","5,263","29,815,562"
,LlABI LlTI ES,,,,,,
,Customer deposits,"9,790,919","1,737,583","775,336","360,838","8,615","12,673,291"
,Deposits and balances,"1,188,732","87,720","45,645","107,330","34,775","1,464,202"
,due to banking institutions,,,,,,
,Line of credit,,"1,016,250",,,,"1,016,250"
,Other liabilities,"8,668,776","38,794","5,114","1,994","5,949","8,720,627"
,Taxation payable,"50,489",,,,,"50,489"
,Deferred tax liability,"74,382",,,,,"74,382"
,Unclaimed dividends,"4,838",,,,,"4,838"
,Life fund,"2,787,457",,,,,"2,787,457"
,TOTAL LIABILITIES,"22,565,593","2,880,347","826,095","470,162","49,339","26,791,536"
