Note,"Group
As at 31 December
2012 2011
Shs'000 Shs'000",Column,Column,Column,"Company
As at 31 December
2012 2011
Shs'000 Shs'000",Column,Column
"18
20
19
30
22(a)
22(b)
37
23
24
25
26
27
28
34(a)
34(c)",,,"7,104,647
21,818,882
3,643,897
6,377,410
94,884,596",,,,"47,453
-
-
-
-"
,,"23,366,583",,,,"177,680",
,,"20,966,076",,,,-,
,,"3,123,196",,,,-,
,,"1,931,831",,,,-,
,,"78,483,828",,,,-,
,,"12,333,987","30,627,842
64,256,754",,,-,"-
-"
,,"66,149,841",,,,-,
,,-,,-,,-,"10,866
10,950
14,294,644
166
-
-
-
140,031
-"
,,"1,950,825","2,475,765
-
2,299,202
68,669
1,373,214
9,349,759
158,846
616,128",,,"3,230",
,,-,,,,"18,175,338",
,,"2,302,671",,,,60,
,,"65,715",,,,-,
,,"1,034,430",,,,-,
,,"9,349,759",,,,-,
,,"158,846",,,,"140,031",
,,"478,395",,,,-,
,,,"150,171,015",,,,"14,504,110"
,,"143,212,155",,,,"18,496,339",
"29
29
40
30
21
31
32
33
37
34(b)",,,"19,329,127
19,329,127",,,,"14,180,197
14,180,197"
,,"27,240,888",,,,"18,039,646",
,,"27,240,888",,,,"18,039,646",
,,"1,976,608","1,368,421
13,586,847
5,289,343
(915,484)",,,"1,976,608","1,368,421
13,586,847
(775,071)
-"
,,"16,897,389",,,,"16,897,389",
,,"8,223,466",,,,"(834,351)",
,,"143,425",,,,-,
,,-,-,,,-,-
,,,"130,841,888",,,,"323,913"
,,"115,971,267",,,,"456,693",
,,"2,469,648","6,429,260
648,671
107,681,320",,,-,"-
-
-"
,,-,,,,-,
,,"100,463,247",,,,-,
,,"25,556,484","33,674,186
74,007,134",,,-,"-
-"
,,"74,906,763",,,,-,
,,"6,697,731","7,086,285
8,408,629
-
587,723",,,,"-
103,296
220,617
-"
,,"5,963,608",,,,"101,619",
,,-,,,,"355,074",
,,"377,033",,,,-,
,,,"150,171,015",,,,"14,504,110"
,,"143,212,155",,,,"18,496,339",
