31 December 2013,Column,Column
,"2,751,296 1,255,600 607,554 - -","4,614,450"
Personal and Business Banking,,
Mortgage lending,"937,992 325,920 171,933 - -
1,096,868 612,811 213,635 - -
716,436 316,869 221,986 - -
3,469,750 1,849,916 229 - -","1,435,845
1,923,314
1,255,291
5,319,895"
"Instalment sales and finance
leases",,
Other loans and advances,,
"Corporate and Investment
Banking",,
Corporate lending,"3,469,750 1,849,916 229 - -","5,319,895"
"Total recognised financial
instruments","6,221,046 3,105,516 607,783 - -","9,934,345"
