"Share
capital
Shs ‘000","Share
premium
Shs ‘000","Revenue
and other
reserves
Shs ‘000","Proposed
Dividend
Shs ‘000","Total
Shs ‘000"
"1,976,608","16,897,389
-
-
-
-","24,346,031","1,403,392
-
(1,403,392)
2,292,869
-","44,623,420"
-,,"6,380,616",,"6,380,616"
-,,"(494,152)",,"(1,897,544)"
-,,"(2,292,869)",,-
-,,"(71,727)",,"(71,727)"
"1,976,608","16,897,389","27,867,899","2,292,869","49,034,765"
,"16,897,389
-
-
-
-",,"2,292,869
-
(2,292,869)
1,502,224
-",
"1,976,608",,"27,867,899",,"49,034,765"
-,,"5,192,240",,"5,192,240"
-,,-,,"(2,292,869)"
-,,"(1,502,224)",,-
-,,"(203,180)",,"(203,180)"
"1,976,608","16,897,389","31,354,735","1,502,224","51,730,956"
