Column,2015,Column,Column,2015,Column,Column
,,,,,2015,
,KShs'000,,,KShs'000,,
,,,"11,642,457",,,
,"14,667,896",,,"66,378",,
,"(5,364,849)",,"(3,180,512)",-,,
,"9,303,047",,"8,461,945","66,378",,
,"(907,305)",,"(702,822)",-,,
,"8,395,742",,"7,759,123","66,378",,
,"3,392,725",,"3,554,510",-,,
,"(323,723)",,"(246,863)",-,,
,"3,069,002",,"3,307,647",-,,
,,,"4,779,322
321,584",,,
,"4,306,531",,,-,,
,"265,695",,,"2,365,764",,
,"4,572,226",,"5,100,906","2,365,764",,
,"16,036,970",,"16,167,676","2,432,142",,
,,,"(4,472,141)
(556,912)
(3,438,377)",,,
,"(5,035,142)",,,-,,
,"(503,832)",,,-,,
,"(3,138,582)",,,"(27,316)",,
,"(8,677,556)",,"(8,467,430)","(27,316)",,
,,,"7,700,246
(2,013,585)",,,
,"7,359,414",,,"2,404,826",,
,,"7,359,414",,,,
,,"(2,453,680)",,"(23,204)",,
,"4,905,734",,"5,686,661","2,381,622",,
Profit attributable to:,,,"5,686,661",,,
Equity holders of the parent,"4,905,734",,,"2,381,622",,"1,095,565"
Profit for the year,"4,905,734",,"5,686,661","2,381,622",,
,,"4,905,734",,,,
,,,14.38,,,
,12.41,,,6.02,,
