(12 815),Column,-,Column,(30 253)
42 038,,5 978,,36 060
111 218,,-,,318 678
-,,-,,(8 022)
2 500 166,,-,,3 076 887
-,,-,,-
618 056,,-,,1 088 947
(90 275),,-,,(90 275)
(7 700),,-,,(7 700)
(2 026),,-,,(2 066)
9 220,,-,,14 897
3 167 882,1 236 718,5 978,(1 469),4 397 153
