Column,"1,368,421","13,586,847","288,173","246,329","1,534,664","132,461","(32,348)","32,394","4,676,820","2,934,854","24,768,615"
,-,-,-,"(316,213)","(1,596,988)",-,-,-,"2,055,068","100,137","242,004"
"Income for the year
Other comprehensive
income:
Transfer from statutory
reserves
Available-for-sale
financial assets net of
tax",,,,,,,,,,,
,-,-,-,-,-,-,-,-,"1,738,855","100,137","1,838,992"
,,,,,,,,,,,-
,-,-,-,"(316,213)",-,-,-,-,"316,213",-,-
,-,-,-,-,"(1,596,988)",-,-,-,-,,"(1,596,988)"
"Total other
comprehensive
income",,,,,,,,,,,
,-,-,-,"(316,213)","(1,596,988)",-,-,-,"316,213",-,"(1,596,988)"
,-,-,-,-,-,-,-,-,"(220,220)",-,"(220,220)"
,-,-,-,-,-,-,-,-,"(867,453)",-,"(867,453)"
,-,-,-,-,-,-,-,"32,805",-,-,"32,805"
,-,-,"(288,173)","(7,962)","(926,332)","(46,642)","32,348",-,"(354,872)","(3,034,991)","(4,626,624)"
,-,-,"(288,173)","(7,962)","(926,332)","(46,642)","32,348","32,805","(1,442,545)","(3,034,991)","(5,681,492)"
,"1,368,421","13,586,847",-,"(77,846)","(988,656)","85,819",-,"65,199","5,289,343",-,"19,329,127"
