"Total
2020
KShs million","Total
2019
KShs million","CIB
2020
KShs million","CIB
2019
KShs million","PBB
2020
KShs million"
20 302,"20 961
(7 613)",11 321,"11 618
(5 185)",8 981
(7 507),,(5 397),,(2 110)
12 795,"13 348
5 653
(545)",5 924,"6 433
2 662
(190)",6 871
4 642,,1 978,,2 664
(582),,(227),,(355)
4 060,"5 108
5 330
173
49
717",1 751,"2 472
5 330
173
49
709",2 309
6 234,,6 234,,–
93,,93,,–
38,,35,,3
17,,17,,–
6 382,6 269,6 379,6 261,3
23 237,24 725,14 054,15 166,9 183
(4 876),(3 151),(2 593),(1 575),(2 283)
18 361,21 574,11 461,13 591,6 900
(5 929),"(6 633)
(704)
(357)
(6 077)
(93)",(3 071),"(2 876)
(246)
(60)
(3 717)
(58)",(2 858)
(804),,(253),,(551)
(458),,(159),,(299)
(4 895),,(2 407),,(2 488)
(48),,(48),,–
6 227,7 710,5 523,6 634,704
(1 035),(1 329),(834),(1 358),(201)
5 192,6 381,4 689,5 276,503
