GROUP,Column,COMPANY
Year ended 31 December,,Year ended 31 December
"2020
KShs million","2019
KShs million","2020
KShs million"
,"17 251
34 160
21 028
14 890
1 612
38 377
152 817
4 910
18
2 302
45
1 025
9 350
1 315
–
4 397
128",
18 077,,–
33 729,,–
30 664,,–
23 191,,–
2 956,,–
38 119,,132
158 180,,–
4 759,,20
18,,18 218
2 242,,–
42,,–
864,,–
9 350,,–
1 479,,–
–,,16
4 847,,–
76,,–
328 593,303 625,18 386
,"2 757
1 487
30 451
194 223
9 127
14 725
398
25
1 371
27",
2 601,,–
418,,–
42 526,,–
217 444,,–
5 504,,–
6 581,,144
395,,–
1,,–
1 386,,–
7,,–
276 863,254 591,144
,"1 977
16 897
(163)
28 030
2 293",
1 977,,1 977
16 897,,16 897
(1 349),,–
32 703,,(2 134)
1 502,,1 502
51 730,49 034,18 242
328 593,303 625,18 386
