Column,Column,Column,Column,Column,Column,Column,Column,Column,Present
,Performing Loans,,,Non - Performing Loans,,,,,value
,Normal,Watch,Total,Sub-,,,Total Non-,Total,of expected
Loans and advances to customers,,,performing,standard,Doubtful,Loss,performing,loans,cashflows
,2011,2011,2011,2011,2011,2011,2011,2011,2011
,Kshs'000,Kshs'000,Kshs'000,Kshs'000,Kshs'000,Kshs'000,Kshs' 000,Kshs' 000,Kshs' 000
Personal and Business Banking,,,,,,,,,
- Mortgage lending,"8,466,133","289,443","8,755,576","72,200",-,"3,370","75,570","8,831,146","61,507"
- Instalment sales and finance leases,"5,498,705","730,585","6,229,290","114,924","32,503","41,353","188,780","6,418,070","61,177"
- Card debtors,"350,295","40,659","390,954",-,-,"24,874","24,874","415,828",-
- Other loans and advances,"9,453,697","483,525","9,937,222","148,635","11,126","274,588","434,349","10,371,571","118,217"
Corporate and Investment Banking,,,,,,,,,
- Corporate lending,"33,349,934","6,003,174","39,353,108",637,"70,380","66,932","137,949","39,491,057","28,039"
Total recognised loans and,,,,,,,,,
advances to customers,"57,118,764","7,547,386","64,666,150","336,396","114,009","411,117","861,522","65,527,672","268,940"
