"2013
KShs’000 %"
"3,269,321 8%
2,664,931 6%
1,655,939 4%
6,730,299 16%
1,547,948 4%
2,962,670 7%
186,063 0%
90,752 0%
5,107 0%
21,913,957 53%"
"41,026,987 100%"
