Note,"31 December 31 December
2012 2011
Shs ‘000 Shs ‘000",Column,Column,Column
"35(a)
34(b)
25(a)
27
12(b)
35 (b)",,,"3,417,118
(1,286,333)
2,130,785
(4,280,802)
(5,271,793)
(1,029,650)
(852,087)
(4,999,339)
2,582,019
-
-
5,290,048
(2,150,017)
(436,257)
(587,905)
(22,305)
5,426
44,016
124,511
(406,245)
-
(426,168)
19,923
(5,138,689)
-
(8,131,208)
8,604,115
472,907",
,,"5,740,280",,
,,"(2,152,696)",,
,,"3,587,584",,
,,"(1,240,919)",,"(4,280,802)"
,,,"(5,271,793)
(1,029,650)
(852,087)
(4,999,339)
2,582,019
-
-
5,290,048",
,,"(1,893,087)",,
,,"524,939",,
,,"165,889",,
,,"2,007,983",,
,,"899,629",,
,,"(1,449,081)",,
,,"947,831",,
,,"(2,445,022)",,
,,"2,346,665",,"(2,150,017)"
,,"(295,152)",,
,,,"(587,905)
(22,305)
5,426
44,016
124,511",
,,"(283,160)",,
,,"(16,151)",,
,,"4,159",,
,,-,,
,,-,,
,,"3,330,175",,"(406,245)"
,,,"-
(426,168)
19,923",
,,"3,918,729",,
,,"(200,000)",,
,,"(388,554)",,
,,-,,
,,"(44,826)",,
,,"5,336,862",,
,,"472,907",,
,,"5,809,769",,
