Group,Column,Company,Column
2023,2022,2023,2022
,Sh’000,"Sh’000
20,295
-",Sh’000
,"35,572",,"32,986"
,78,,957
,"35,650","20,295","33,943"
,,"187
-
-",
,"(11,969)",,"(12,152)"
,680,,-
,(286),,-
,"(11,575)",187,"(12,152)"
,"24,075","20,482","21,791"
,,"64,928",
,"37,799",,"61,112"
,"11,340","19,478
23,926
(22,922)
-
-
-","18,334"
,"18,756",,"13,074"
,"(11,783)",,"(10,574)"
,"5,970",,-
,(286),,-
,78,,957
,"24,075","20,482","21,791"
,,"(87,888)
20,295
(23,044)
(116)",
,"(32,423)",,"(27,248)"
,"35,650",,"33,943"
,"(97,362)",,"(94,583)"
,-,,-
,"(94,135)","(90,753)","(87,888)"
